InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,All
31210101,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
314110123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510037,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,12
31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610021,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5
31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610044,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,12
31610075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31610158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710002,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,9
31710046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710112,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,10
31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
31710156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31610023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s31710125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
s3171037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
All,40,40,40,40,37,39,39,39,39,36,37,36,36,36,34,568
