,InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
0,31210101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,31410123,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,31410170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,31410196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,31510058,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,31510062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,31510173,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,31510207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,31610016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,31610028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,31610035,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,31610052,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,31610075,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,31610121,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,31610124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,3161013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,31610158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,3161097,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,31710002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,31710016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,31710023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,31710042,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,31710046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,31710061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,31710071,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,31710074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,31710086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,31710096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,31710106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,31710117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,31710135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40,31710143,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,31710145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,31710150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,31710156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,31710165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
46,31710167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,s31610012,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,s31710105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,s31710111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,s31710125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,s31710137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
