InputID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5
31210101,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31410011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31410066,3,2,2,1,1,3,3,1,2,1,4,3,1,1,1
31410170,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31410196,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
314110123,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1
31510037,1,1,1,1,NA,1,1,2,1,NA,1,16,14,1,NA
31510058,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
31510074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31510156,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610001,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
31610007,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1
31610012,2,2,1,2,1,3,1,1,1,1,3,2,1,2,1
31610016,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1
31610021,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31610025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31610037,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
31610044,1,1,1,1,NA,1,1,2,1,NA,2,11,1,3,NA
31610075,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1
31610097,2,2,1,1,2,1,2,1,1,1,9,1,1,1,1
31610121,1,1,1,1,1,1,1,1,1,1,10,1,1,1,1
31610135,1,1,1,1,1,1,1,2,1,1,4,1,1,1,1
31610158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710002,1,1,1,2,NA,1,1,1,1,NA,3,NA,NA,NA,NA
31710046,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1
31710061,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
31710071,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1
31710074,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
31710106,2,1,1,1,2,1,3,1,1,1,2,1,1,1,1
31710112,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
31710148,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31710150,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1
31710156,2,1,1,1,3,2,2,1,1,1,5,1,1,1,3
72,1,2,1,1,1,1,1,1,1,1,7,3,2,1,2
s31610023,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
s31710125,1,1,2,1,1,1,1,1,1,1,10,1,1,2,1
s3171037,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1
