InputID,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11
31710071,1,0,1,1,0,2,0,2,0,0,0,0
31510074,0,0,2,0,2,0,0,1,2,0,2,2
31510156,1,0,0,1,1,1,2,0,1,2,0,1
31710156,0,1,1,1,0,2,0,0,0,2,0,2
31610121,0,0,2,1,0,1,2,0,2,0,1,0
31710046,2,0,1,2,1,1,2,0,1,0,0,2
31510058,2,0,2,0,0,0,0,0,2,1,2,1
31710148,0,0,1,2,1,1,2,1,0,2,0,1
31710150,1,0,1,0,1,1,1,1,2,2,1,1
31710074,1,2,1,2,2,1,0,0,0,2,1,2
31610025,1,0,1,0,2,1,2,1,1,2,2,1
31410196,2,1,0,1,1,1,1,1,1,1,2,1
31410011,1,0,2,0,1,0,1,2,1,2,2,2
31610016,0,1,2,2,1,0,2,0,0,2,1,2
