InputID,counts,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11
31710071,60,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
31510074,60,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0
31510156,60,0.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0
31710156,60,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
31610121,60,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
31710046,60,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
31510058,60,0.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0
31710148,60,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
31710150,60,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0
31710074,60,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0
31610025,60,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0
31410196,60,1.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
31410011,60,0.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
31610016,60,2.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0
31210101,55,,,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
31710002,54,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31610044,49,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,
31710096,45,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
s31610023,45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,
31610052,45,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0
