InputID,cluster0(3),cluster1(4),cluster2(4),clcl0(4),cluster3(4),cluster4(4),cluster5(3),clcl1(4),cluster6(4),cluster7(3),cluster8(2),clcl2(4),cluster9(3),cluster10(4),cluster11(2),clcl3(4)
31710071,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0
31510074,1.0,0.0,1.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
31510156,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0
31710156,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0
31610121,1.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0
31710046,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0
31510058,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0
31710148,1.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0
31710150,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0
31710074,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
31610025,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0
31410196,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
31410011,1.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0
31610016,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0
31210101,,,,,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
31710002,,,,,2.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
31610044,,,,,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,
