,郡１,群２,観測値１,観測値２,群1_観測値1,群１観測値２,群２観測値１,群２観測値２,p値
0,0_0_0,0_1_0,1_1,1_2,14,12,1,0,1.0
1,0_0_0,0_1_0,1_2,1_3,12,9,0,0,1.0
2,0_0_0,0_1_0,1_3,1_4,9,6,0,0,1.0
3,0_0_0,0_1_0,1_4,1_5,6,7,0,0,1.0
4,0_0_0,0_1_0,1_5,2_1,7,4,0,0,1.0
5,0_0_0,0_1_0,2_1,2_2,4,9,0,0,1.0
6,0_0_0,0_1_0,2_2,2_3,9,4,0,0,1.0
7,0_0_0,0_1_0,2_3,2_4,4,4,0,0,1.0
8,0_0_0,0_1_0,2_4,2_5,4,9,0,2,1.0
9,0_0_0,0_1_0,2_5,3_1,9,5,2,0,1.0
10,0_0_0,0_1_0,3_1,3_2,5,6,0,1,1.0
11,0_0_0,0_1_0,3_2,3_3,6,3,1,0,1.0
12,0_0_0,0_1_0,3_3,3_4,3,1,0,1,0.4000000000000001
13,0_0_0,0_1_0,3_4,3_5,1,2,1,0,1.0
14,0_1_0,0_1_1,1_1,1_2,1,0,14,13,1.0
15,0_1_0,0_1_1,1_2,1_3,0,0,13,11,1.0
16,0_1_0,0_1_1,1_3,1_4,0,0,11,11,1.0
17,0_1_0,0_1_1,1_4,1_5,0,0,11,12,1.0
18,0_1_0,0_1_1,1_5,2_1,0,0,12,7,1.0
19,0_1_0,0_1_1,2_1,2_2,0,0,7,5,1.0
20,0_1_0,0_1_1,2_2,2_3,0,0,5,5,1.0
21,0_1_0,0_1_1,2_3,2_4,0,0,5,5,1.0
22,0_1_0,0_1_1,2_4,2_5,0,2,5,0,0.04761904761904761
23,0_1_0,0_1_1,2_5,3_1,2,0,0,0,1.0
24,0_1_0,0_1_1,3_1,3_2,0,1,0,0,1.0
25,0_1_0,0_1_1,3_2,3_3,1,0,0,0,1.0
26,0_1_0,0_1_1,3_3,3_4,0,1,0,0,1.0
27,0_1_0,0_1_1,3_4,3_5,1,0,0,0,1.0
28,0_1_1,1_0_0,1_1,1_2,14,13,5,9,0.5099518765082128
29,0_1_1,1_0_0,1_2,1_3,13,11,9,14,0.3851592074114081
30,0_1_1,1_0_0,1_3,1_4,11,11,14,17,0.7850034956829857
31,0_1_1,1_0_0,1_4,1_5,11,12,17,15,0.7874910585428516
32,0_1_1,1_0_0,1_5,2_1,12,7,15,23,0.10302273476494286
33,0_1_1,1_0_0,2_1,2_2,7,5,23,20,1.0
34,0_1_1,1_0_0,2_2,2_3,5,5,20,25,1.0
35,0_1_1,1_0_0,2_3,2_4,5,5,25,25,1.0
36,0_1_1,1_0_0,2_4,2_5,5,0,25,23,0.06138478613506361
37,0_1_1,1_0_0,2_5,3_1,0,0,23,20,1.0
38,0_1_1,1_0_0,3_1,3_2,0,0,20,16,1.0
39,0_1_1,1_0_0,3_2,3_3,0,0,16,13,1.0
40,0_1_1,1_0_0,3_3,3_4,0,0,13,19,1.0
41,0_1_1,1_0_0,3_4,3_5,0,0,19,14,1.0
42,1_0_0,1_0_1,1_1,1_2,5,9,0,0,1.0
43,1_0_0,1_0_1,1_2,1_3,9,14,0,0,1.0
44,1_0_0,1_0_1,1_3,1_4,14,17,0,0,1.0
45,1_0_0,1_0_1,1_4,1_5,17,15,0,0,1.0
46,1_0_0,1_0_1,1_5,2_1,15,23,0,0,1.0
47,1_0_0,1_0_1,2_1,2_2,23,20,0,0,1.0
48,1_0_0,1_0_1,2_2,2_3,20,25,0,0,1.0
49,1_0_0,1_0_1,2_3,2_4,25,25,0,0,1.0
50,1_0_0,1_0_1,2_4,2_5,25,23,0,0,1.0
51,1_0_0,1_0_1,2_5,3_1,23,20,0,9,0.0029442709980882697
52,1_0_0,1_0_1,3_1,3_2,20,16,9,11,0.5785073825543054
53,1_0_0,1_0_1,3_2,3_3,16,13,11,18,0.29237190334030616
54,1_0_0,1_0_1,3_3,3_4,13,19,18,13,0.2110302136247133
55,1_0_0,1_0_1,3_4,3_5,19,14,13,18,0.31714585402488626
56,0_0_0,0_0_1,1_1,1_2,14,12,2,3,0.6539364726239032
57,0_0_0,0_0_1,1_2,1_3,12,19,3,1,0.29239877769289535
58,0_0_0,0_0_1,1_3,1_4,19,7,1,6,0.008435298479792361
59,0_0_0,0_0_1,1_4,1_5,7,15,6,1,0.026020323171747465
60,0_0_0,0_0_1,1_5,2_1,15,19,1,0,0.45714285714285713
61,0_0_0,0_0_1,2_1,2_2,19,17,0,3,0.23076923076923078
62,0_0_0,0_0_1,2_2,2_3,17,18,3,1,0.6049896049896051
63,0_0_0,0_0_1,2_3,2_4,18,15,1,3,0.3397683397683397
64,0_0_0,0_0_1,2_4,2_5,15,12,3,2,1.0
65,0_0_0,0_0_1,2_5,3_1,12,20,2,3,1.0
66,0_0_0,0_0_1,3_1,3_2,20,25,3,0,0.1023936170212766
67,0_0_0,0_0_1,3_2,3_3,25,18,0,0,1.0
68,0_0_0,0_0_1,3_3,3_4,18,20,0,0,1.0
69,0_0_0,0_0_1,3_4,3_5,20,20,0,0,1.0
70,0_0_1,0_1_0,1_1,1_2,2,3,2,0,0.4285714285714286
71,0_0_1,0_1_0,1_2,1_3,3,1,0,1,0.4000000000000001
