,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st
0,2017/10/16,14:58:14,0,ばんごう,1,1,0,PROB_BEGIN,0,0,0,0,0,1508133494,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
1,2017/10/16,14:58:47,6,ばんごう,1,1,1,SET,1,6,6,0,0,1508133494,0,f,0,0,0,0,0,0,1,7.0,白い花 を 7 本 もっています,e0,existence,1.0,decrease,,0,0,0
2,2017/10/16,14:58:51,6,ばんごう,1,1,2,REMOVE,1,6,6,0,0,1508133494,0,f,0,0,0,0,0,0,1,7.0,白い花 を 7 本 もっています,e0,existence,1.0,decrease,,0,0,0
3,2017/10/16,14:58:53,1,ばんごう,1,1,3,SET,1,1,1,0,0,1508133494,0,f,0,0,0,0,0,0,1,7.0,赤い花 を 7 本 もっています,e1,existence,1.0,decrease,e1,0,0,0
4,2017/10/16,14:58:55,21,ばんごう,1,1,4,SET,2,2,1,2,0,1508133494,0,f,0,1,0,0,0,1,1,2.0,赤い花 を 2 本 あげました,r1,decrease,2.0,decrease,r,0,0,0
5,2017/10/16,14:58:59,321,ばんごう,1,1,5,SET,3,3,1,2,3,1508133494,0,s,1,1,1,1,1,5,1,0.0,赤い花 を ? 本 もっています,e1,existence,3.0,decrease,e2,0,0,0
6,2017/10/16,14:58:59,321,ばんごう,1,1,5,CHECK,0,0,1,2,3,1508133494,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0
7,2017/10/16,14:59:03,0,ばんごう,1,2,0,PROB_BEGIN,0,0,0,0,0,1508133543,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
8,2017/10/16,14:59:33,1,ばんごう,1,2,1,SET,1,1,1,0,0,1508133543,0,f,0,0,0,0,0,0,1,8.0,男の子 が 8 にん います,e1,existence,1.0,decrease,e1,0,0,0
9,2017/10/16,14:59:34,21,ばんごう,1,2,2,SET,2,2,1,2,0,1508133543,0,f,0,1,0,0,0,1,1,5.0,男の子 が 5 にん かえりました,r1,decrease,2.0,decrease,r,0,0,0
10,2017/10/16,14:59:38,321,ばんごう,1,2,3,SET,3,3,1,2,3,1508133543,0,s,1,1,1,1,1,5,1,0.0,男の子 が ? にん います,e1,existence,3.0,decrease,e2,0,0,0
11,2017/10/16,14:59:39,321,ばんごう,1,2,3,CHECK,0,0,1,2,3,1508133543,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1
12,2017/10/16,14:59:40,0,ばんごう,1,3,0,PROB_BEGIN,0,0,0,0,0,1508133580,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
13,2017/10/16,14:59:45,1,ばんごう,1,3,1,SET,1,1,1,0,0,1508133580,0,f,0,0,0,0,0,0,1,7.0,青いカード を 7 まい もっています,e1,existence,1.0,decrease,e1,0,0,0
14,2017/10/16,14:59:46,21,ばんごう,1,3,2,SET,2,2,1,2,0,1508133580,0,f,0,1,0,0,0,1,1,2.0,青いカード を 2 まい あげました,r1,decrease,2.0,decrease,r,0,0,0
15,2017/10/16,14:59:50,321,ばんごう,1,3,3,SET,3,3,1,2,3,1508133580,0,s,1,1,1,1,1,5,1,0.0,青いカード を ? まい もっています,e1,existence,3.0,decrease,e2,0,0,0
16,2017/10/16,14:59:51,321,ばんごう,1,3,3,CHECK,0,0,1,2,3,1508133580,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1
17,2017/10/16,14:59:52,0,ばんごう,1,4,0,PROB_BEGIN,0,0,0,0,0,1508133592,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
18,2017/10/16,15:00:21,1,ばんごう,1,4,1,SET,1,1,1,0,0,1508133592,0,f,0,0,0,0,0,0,1,6.0,きいろいくるま が 6 だい います,e1,existence,1.0,decrease,e1,0,0,0
19,2017/10/16,15:00:24,41,ばんごう,1,4,2,SET,2,4,1,4,0,1508133592,0,f,0,0,0,0,0,0,1,2.0,きいろいくるま が 2 だい います,e0,existence,2.0,decrease,,0,0,0
20,2017/10/16,15:00:39,41,ばんごう,1,4,3,REMOVE,2,4,1,4,0,1508133592,0,f,0,0,0,0,0,0,1,2.0,きいろいくるま が 2 だい います,e0,existence,2.0,decrease,,0,0,0
21,2017/10/16,15:00:41,21,ばんごう,1,4,4,SET,2,2,1,2,0,1508133592,0,f,0,1,0,0,0,1,1,2.0,きいろいくるま が 2 だい でていきました,r1,decrease,2.0,decrease,r,0,0,0
22,2017/10/16,15:00:43,321,ばんごう,1,4,5,SET,3,3,1,2,3,1508133592,0,s,1,1,1,1,1,5,1,0.0,きいろいくるま が ? だい います,e1,existence,3.0,decrease,e2,0,0,0
23,2017/10/16,15:00:44,321,ばんごう,1,4,5,CHECK,0,0,1,2,3,1508133592,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0
24,2017/10/16,15:00:44,0,ばんごう,1,5,0,PROB_BEGIN,0,0,0,0,0,1508133644,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
25,2017/10/16,15:01:10,1,ばんごう,1,5,1,SET,1,1,1,0,0,1508133644,0,f,0,0,0,0,0,0,1,9.0,子ども が 9 にん います,e1,existence,1.0,decrease,e1,0,0,0
26,2017/10/16,15:01:13,21,ばんごう,1,5,2,SET,2,2,1,2,0,1508133644,0,f,0,1,0,0,0,1,1,4.0,子ども が 4 にん かえりました,r1,decrease,2.0,decrease,r,0,0,0
27,2017/10/16,15:01:15,321,ばんごう,1,5,3,SET,3,3,1,2,3,1508133644,0,s,1,1,1,1,1,5,1,0.0,子ども が ? にん います,e1,existence,3.0,decrease,e2,0,0,0
28,2017/10/16,15:01:16,321,ばんごう,1,5,3,CHECK,0,0,1,2,3,1508133644,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1
29,2017/10/16,15:01:20,0,ばんごう,2,1,0,PROB_BEGIN,0,0,0,0,0,1508133680,0,f,0,0,0,0,0,0,1,,,,,,,,0,0,0
30,2017/10/16,15:01:33,300,ばんごう,2,1,1,SET,3,3,0,0,3,1508133680,0,f,0,0,0,0,0,0,1,5.0,赤い花 を 5 本 もっています,e1,existence,3.0,decrease,e2,0,0,0
