,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q
0,2017/10/30,14:32:56,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
1,2017/10/30,14:33:11,321,31710071,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
2,2017/10/30,14:33:26,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
3,2017/10/30,14:33:40,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_4
4,2017/10/30,14:33:51,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
5,2017/10/30,14:34:27,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_1
6,2017/10/30,14:34:42,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_2
7,2017/10/30,14:34:55,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_3
8,2017/10/30,14:35:07,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_4
9,2017/10/30,14:35:23,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_5
10,2017/10/30,14:37:09,352,31710071,3,1,3,CHECK,0,0,2,5,3,1509341777,1,f,0,0,1,0,0,1,1,,,,,,,,0,1,0,3_1
