,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy
0,2017/10/30,14:32:56,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509341558,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,F*
1,2017/10/30,14:33:11,321,31710071,1,2,3,CHECK,0,0,1,2,3,1509341576,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,F*
2,2017/10/30,14:33:26,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509341592,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,F*
3,2017/10/30,14:33:40,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509341606,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,F*
4,2017/10/30,14:33:51,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509341620,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,F*
5,2017/10/30,14:34:27,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509341636,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,F*
6,2017/10/30,14:34:42,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509341667,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,F*
7,2017/10/30,14:34:55,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509341683,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,F*
8,2017/10/30,14:35:07,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509341695,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,F*
9,2017/10/30,14:35:23,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509341707,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,n
10,2017/10/30,14:37:09,352,31710071,3,1,3,CHECK,0,0,2,5,3,1509341777,1,f,0,0,1,0,0,1,1,,,,,,,,,r,,3_1,r
11,2017/10/30,14:38:54,321,31710071,3,2,3,CHECK,0,0,1,2,3,1509341923,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_2,s
12,2017/10/30,14:39:10,321,31710071,3,3,3,CHECK,0,0,1,2,3,1509341934,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_3,s
13,2017/10/30,14:39:44,321,31710071,3,4,3,CHECK,0,0,1,2,3,1509341951,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_4,s
14,2017/10/30,14:39:54,321,31710071,3,5,3,CHECK,0,0,1,2,3,1509341984,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_5,s
15,2017/10/30,14:45:39,321,31510207,1,1,5,CHECK,0,0,1,2,3,1509342323,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,n
16,2017/10/30,14:46:01,321,31510207,1,2,3,CHECK,0,0,1,2,3,1509342340,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,F*
17,2017/10/30,14:46:13,321,31510207,1,3,3,CHECK,0,0,1,2,3,1509342361,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,F*
18,2017/10/30,14:46:54,321,31510207,1,4,3,CHECK,0,0,1,2,3,1509342374,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,F*
19,2017/10/30,14:47:02,321,31510207,1,5,3,CHECK,0,0,1,2,3,1509342415,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,F*
20,2017/10/30,14:47:45,621,31510207,2,1,3,CHECK,0,0,1,2,6,1509342425,1,f,1,1,1,1,0,4,1,,,,,,,,,,F*,2_1,F*
21,2017/10/30,14:48:16,321,31510207,2,2,3,CHECK,0,0,1,2,3,1509342485,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,F*
22,2017/10/30,14:48:27,321,31510207,2,3,3,CHECK,0,0,1,2,3,1509342497,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,F*
23,2017/10/30,14:48:46,321,31510207,2,4,3,CHECK,0,0,1,2,3,1509342507,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,F*
24,2017/10/30,14:49:06,321,31510207,2,5,3,CHECK,0,0,1,2,3,1509342527,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_5,F*
25,2017/10/30,14:49:35,534,31510207,3,1,3,CHECK,0,0,4,3,5,1509342549,1,f,0,0,1,1,1,3,1,,,,,,,,,,,3_1,n
26,2017/10/30,15:04:13,321,31510207,3,2,3,CHECK,0,0,1,2,3,1509343440,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,n
27,2017/10/30,15:04:28,123,31510207,3,3,3,CHECK,0,0,3,2,1,1509343454,1,f,0,1,1,1,1,4,1,,,,,,,,,r,,3_3,r
28,2017/10/30,15:04:47,321,31510207,3,4,3,CHECK,0,0,1,2,3,1509343473,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_4,s
29,2017/10/30,15:05:00,321,31510207,3,5,3,CHECK,0,0,1,2,3,1509343488,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_5,n
30,2017/10/30,14:49:48,321,31710039,1,1,3,CHECK,0,0,1,2,3,1509342452,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,n
31,2017/10/30,14:50:08,321,31710039,1,2,3,CHECK,0,0,1,2,3,1509342589,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,F*
32,2017/10/30,14:50:36,321,31710039,1,3,3,CHECK,0,0,1,2,3,1509342609,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_3,n
33,2017/10/30,14:51:49,321,31710039,1,4,3,CHECK,0,0,1,2,3,1509342637,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_4,n
34,2017/10/30,14:52:06,321,31710039,1,5,3,CHECK,0,0,1,2,3,1509342711,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_5,n
35,2017/10/30,14:52:24,321,31710039,2,1,3,CHECK,0,0,1,2,3,1509342729,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1,n
36,2017/10/30,14:52:39,321,31710039,2,2,3,CHECK,0,0,1,2,3,1509342745,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2,n
37,2017/10/30,14:52:58,321,31710039,2,3,3,CHECK,0,0,1,2,3,1509342760,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,n
38,2017/10/30,14:53:27,321,31710039,2,4,3,CHECK,0,0,1,2,3,1509342779,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,n
39,2017/10/30,14:53:43,321,31710039,2,5,3,CHECK,0,0,1,2,3,1509342808,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,n
40,2017/10/30,14:55:05,453,31710039,3,1,3,CHECK,0,0,3,5,4,1509342828,1,f,0,0,1,1,1,3,1,,,,,,,,,,,3_1,n
41,2017/10/30,14:58:52,321,31710039,3,2,7,CHECK,0,0,1,2,3,1509343098,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,n
42,2017/10/30,14:59:13,321,31710039,3,3,3,CHECK,0,0,1,2,3,1509343134,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3,n
43,2017/10/30,14:59:26,321,31710039,3,4,3,CHECK,0,0,1,2,3,1509343154,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_4,n
44,2017/10/30,14:59:41,321,31710039,3,5,3,CHECK,0,0,1,2,3,1509343168,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_5,n
45,2017/10/30,17:11:34,321,s31610012,1,1,5,CHECK,0,0,1,2,3,1509351074,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,n
46,2017/10/30,17:11:43,325,s31610012,1,2,3,CHECK,0,0,5,2,3,1509351096,1,f,0,0,1,0,0,1,1,,,,,,,,,,F*,1_2,F*
47,2017/10/30,17:12:07,321,s31610012,1,3,3,CHECK,0,0,1,2,3,1509351114,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,F*
48,2017/10/30,17:12:21,321,s31610012,1,4,3,CHECK,0,0,1,2,3,1509351128,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,r
49,2017/10/30,17:12:30,321,s31610012,1,5,3,CHECK,0,0,1,2,3,1509351142,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_5,n
50,2017/10/30,17:12:43,341,s31610012,2,1,3,CHECK,0,0,1,4,3,1509351154,1,f,0,0,1,0,1,2,1,,,,,,,,,,,2_1,n
51,2017/10/30,17:13:08,321,s31610012,2,2,3,CHECK,0,0,1,2,3,1509351174,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,F*
52,2017/10/30,17:13:29,321,s31610012,2,3,5,CHECK,0,0,1,2,3,1509351189,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,n
53,2017/10/30,17:13:48,321,s31610012,2,4,3,CHECK,0,0,1,2,3,1509351210,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,n
54,2017/10/30,17:14:01,341,s31610012,2,5,3,CHECK,0,0,1,4,3,1509351229,1,f,0,0,1,0,1,2,1,,,,,,,,,,,2_5,n
55,2017/10/30,17:14:27,453,s31610012,3,1,3,CHECK,0,0,3,5,4,1509351259,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,3_1,F*
56,2017/10/30,17:16:29,321,s31610012,3,2,5,CHECK,0,0,1,2,3,1509351377,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,n
57,2017/10/30,17:16:40,321,s31610012,3,3,3,CHECK,0,0,1,2,3,1509351390,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3,n
58,2017/10/30,17:16:57,345,s31610012,3,4,5,CHECK,0,0,5,4,3,1509351400,1,f,0,0,1,1,1,3,1,,,,,,,,,,,3_4,n
59,2017/10/30,17:17:27,341,s31610012,3,5,3,CHECK,0,0,1,4,3,1509351438,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_5,n
60,2017/10/30,14:15:43,321,31610158,1,1,3,CHECK,0,0,1,2,3,1509340528,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,F*
61,2017/10/30,14:16:01,321,31610158,1,2,3,CHECK,0,0,1,2,3,1509340543,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,F*
62,2017/10/30,14:16:16,321,31610158,1,3,5,CHECK,0,0,1,2,3,1509340561,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_3,n
63,2017/10/30,14:16:33,321,31610158,1,4,3,CHECK,0,0,1,2,3,1509340576,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,r
64,2017/10/30,14:16:49,321,31610158,1,5,5,CHECK,0,0,1,2,3,1509340593,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_5,n
65,2017/10/30,14:17:12,321,31610158,2,1,3,CHECK,0,0,1,2,3,1509340612,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,F*
66,2017/10/30,14:17:26,321,31610158,2,2,3,CHECK,0,0,1,2,3,1509340633,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,F*
67,2017/10/30,14:17:50,321,31610158,2,3,7,CHECK,0,0,1,2,3,1509340646,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,n
68,2017/10/30,14:18:04,321,31610158,2,4,3,CHECK,0,0,1,2,3,1509340671,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,F*
69,2017/10/30,14:18:20,321,31610158,2,5,3,CHECK,0,0,1,2,3,1509340684,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_5,F*
70,2017/10/30,14:51:10,543,31610158,3,1,3,CHECK,0,0,3,4,5,1509342383,1,f,0,0,1,1,1,3,1,,,,,,,,,,,3_1,n
71,2017/10/30,14:52:40,341,31610158,3,2,5,CHECK,0,0,1,4,3,1509342742,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_2,n
72,2017/10/30,14:53:05,351,31610158,3,3,3,CHECK,0,0,1,5,3,1509342771,1,f,0,0,0,1,1,2,1,,,,,,,,,,,3_3,n
73,2017/10/30,14:53:56,341,31610158,3,4,3,CHECK,0,0,1,4,3,1509342819,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_4,n
74,2017/10/30,14:54:18,341,31610158,3,5,3,CHECK,0,0,1,4,3,1509342843,1,f,0,0,1,0,1,2,1,,,,,,,,,,,3_5,n
75,2017/10/30,14:45:23,321,31710023,1,1,5,CHECK,0,0,1,2,3,1509342209,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_1,r
