,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q
4,2017/10/09,14:50:55,521,31710071,1,1,3,CHECK,0,0,1,2,5,1507528209,1,f,0,0,1,1,1,3,1,,,,,,,,1,0,1,1_1
9,2017/10/09,14:51:16,321,31710071,1,1,7,CHECK,0,0,1,2,3,1507528209,2,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
14,2017/10/09,14:51:46,321,31710071,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
19,2017/10/09,14:52:10,321,31710071,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
24,2017/10/09,14:52:44,321,31710071,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_4
29,2017/10/09,14:53:09,521,31710071,1,5,3,CHECK,0,0,1,2,5,1507528365,1,f,0,0,1,1,1,3,1,,,,,,,,1,0,1,1_5
32,2017/10/09,14:53:14,321,31710071,1,5,5,CHECK,0,0,1,2,3,1507528365,2,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
38,2017/10/09,14:53:41,321,31710071,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_1
43,2017/10/09,14:54:15,321,31710071,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_2
48,2017/10/09,14:54:28,321,31710071,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_3
53,2017/10/09,14:54:42,321,31710071,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_4
58,2017/10/09,14:54:58,321,31710071,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_5
65,2017/10/09,14:56:52,521,31710071,3,1,5,CHECK,0,0,1,2,5,1507528500,1,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
72,2017/10/09,14:58:42,215,31710071,3,1,11,CHECK,0,0,5,1,2,1507528500,2,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
75,2017/10/09,14:58:56,213,31710071,3,1,13,CHECK,0,0,3,1,2,1507528500,3,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_1
80,2017/10/09,14:59:28,213,31710071,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,1,3_2
85,2017/10/09,14:59:57,213,31710071,3,3,3,CHECK,0,0,3,1,2,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,1,3_3
90,2017/10/09,15:00:18,213,31710071,3,4,3,CHECK,0,0,3,1,2,1507528797,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,1,3_4
95,2017/10/09,15:00:30,213,31710071,3,5,3,CHECK,0,0,3,1,2,1507528819,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,1,3_5
100,2017/10/09,15:04:29,321,31710061,1,1,3,CHECK,0,0,1,2,3,1507529057,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_1
107,2017/10/09,15:04:48,521,31710061,1,2,5,CHECK,0,0,1,2,5,1507529071,1,f,0,0,1,1,1,3,1,,,,,,,,0,0,0,1_2
110,2017/10/09,15:04:55,321,31710061,1,2,7,CHECK,0,0,1,2,3,1507529071,2,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_2
117,2017/10/09,15:05:06,321,31710061,1,3,5,CHECK,0,0,1,2,3,1507529096,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_3
122,2017/10/09,15:05:21,321,31710061,1,4,3,CHECK,0,0,1,2,3,1507529107,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_4
129,2017/10/09,15:05:36,321,31710061,1,5,5,CHECK,0,0,1,2,3,1507529122,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
136,2017/10/09,15:05:57,321,31710061,2,1,5,CHECK,0,0,1,2,3,1507529138,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_1
141,2017/10/09,15:06:09,321,31710061,2,2,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_2
148,2017/10/09,15:06:27,321,31710061,2,3,5,CHECK,0,0,1,2,3,1507529170,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_3
155,2017/10/09,15:06:43,321,31710061,2,4,5,CHECK,0,0,1,2,3,1507529187,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_4
166,2017/10/09,15:07:02,321,31710061,2,5,9,CHECK,0,0,1,2,3,1507529204,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_5
177,2017/10/09,15:07:55,132,31710061,3,1,9,CHECK,0,0,2,3,1,1507529225,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_1
186,2017/10/09,15:08:25,312,31710061,3,2,7,CHECK,0,0,2,1,3,1507529276,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_2
195,2017/10/09,15:08:45,132,31710061,3,3,7,CHECK,0,0,2,3,1,1507529307,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_3
200,2017/10/09,15:08:57,312,31710061,3,4,3,CHECK,0,0,2,1,3,1507529326,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,0,3_4
213,2017/10/09,15:09:19,152,31710061,3,5,11,CHECK,0,0,2,5,1,1507529338,1,f,0,0,1,1,1,3,1,,,,,,,,0,0,0,3_5
216,2017/10/09,15:09:23,132,31710061,3,5,13,CHECK,0,0,2,3,1,1507529338,2,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,3_5
221,2017/10/09,15:41:57,326,31610012,1,1,3,CHECK,0,0,6,2,3,1507531309,1,f,0,1,1,1,0,3,1,,,,,,,,1,0,1,1_1
224,2017/10/09,15:42:03,321,31610012,1,1,5,CHECK,0,0,1,2,3,1507531309,2,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_1
229,2017/10/09,15:42:13,341,31610012,1,2,3,CHECK,0,0,1,4,3,1507531324,1,f,0,1,1,1,0,3,1,,,,,,,,1,0,1,1_2
232,2017/10/09,15:42:17,321,31610012,1,2,5,CHECK,0,0,1,2,3,1507531324,2,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
239,2017/10/09,15:42:27,321,31610012,1,3,5,CHECK,0,0,1,2,3,1507531338,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_3
244,2017/10/09,15:42:34,326,31610012,1,4,3,CHECK,0,0,6,2,3,1507531348,1,f,0,1,1,1,0,3,1,,,,,,,,1,0,1,1_4
249,2017/10/09,15:42:44,321,31610012,1,4,7,CHECK,0,0,1,2,3,1507531348,2,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_4
256,2017/10/09,15:42:55,321,31610012,1,5,5,CHECK,0,0,1,2,3,1507531365,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_5
263,2017/10/09,15:43:14,526,31610012,2,1,5,CHECK,0,0,6,2,5,1507531378,1,f,0,0,1,1,0,2,1,,,,,,,,1,0,1,2_1
266,2017/10/09,15:43:36,326,31610012,2,1,7,CHECK,0,0,6,2,3,1507531378,2,f,0,1,1,1,0,3,1,,,,,,,,1,0,1,2_1
269,2017/10/09,15:43:41,321,31610012,2,1,9,CHECK,0,0,1,2,3,1507531378,3,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_1
278,2017/10/09,15:44:34,321,31610012,2,2,7,CHECK,0,0,1,2,3,1507531422,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,2_2
283,2017/10/09,15:44:47,321,31610012,2,3,3,CHECK,0,0,1,2,3,1507531475,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_3
290,2017/10/09,15:44:58,321,31610012,2,4,5,CHECK,0,0,1,2,3,1507531487,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,2_4
295,2017/10/09,15:45:06,321,31610012,2,5,3,CHECK,0,0,1,2,3,1507531499,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,0,2_5
302,2017/10/09,15:45:34,125,31610012,3,1,5,CHECK,0,0,5,2,1,1507531509,1,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
309,2017/10/09,15:45:47,125,31610012,3,1,11,CHECK,0,0,5,2,1,1507531509,2,f,0,0,1,1,1,3,1,,,,,,,,0,1,0,3_1
322,2017/10/09,15:46:50,123,31610012,3,1,23,CHECK,0,0,3,2,1,1507531509,3,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_1
329,2017/10/09,15:47:00,643,31610012,3,2,5,CHECK,0,0,3,4,6,1507531611,1,f,0,1,1,1,0,3,1,,,,,,,,0,1,0,3_2
334,2017/10/09,15:47:08,213,31610012,3,2,9,CHECK,0,0,3,1,2,1507531611,2,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_2
339,2017/10/09,15:47:19,123,31610012,3,3,3,CHECK,0,0,3,2,1,1507531628,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_3
344,2017/10/09,15:47:30,143,31610012,3,4,3,CHECK,0,0,3,4,1,1507531640,1,f,0,1,1,1,0,3,1,,,,,,,,0,1,0,3_4
347,2017/10/09,15:47:34,123,31610012,3,4,5,CHECK,0,0,3,2,1,1507531640,2,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_4
352,2017/10/09,15:47:44,123,31610012,3,5,3,CHECK,0,0,3,2,1,1507531655,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,3_5
359,2017/10/09,15:03:55,321,31610158,1,1,5,CHECK,0,0,1,2,3,1507529022,1,s,1,1,1,1,1,5,1,,,,,,,,0,0,0,1_1
366,2017/10/09,15:04:15,321,31610158,1,2,5,CHECK,0,0,1,2,3,1507529037,1,s,1,1,1,1,1,5,1,,,,,,,,1,0,1,1_2
375,2017/10/09,15:04:40,321,31610158,1,3,7,CHECK,0,0,1,2,3,1507529055,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_3
380,2017/10/09,15:04:54,321,31610158,1,4,3,CHECK,0,0,1,2,3,1507529080,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_4
385,2017/10/09,15:05:10,321,31610158,1,5,3,CHECK,0,0,1,2,3,1507529095,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,1_5
392,2017/10/09,15:05:38,321,31610158,2,1,5,CHECK,0,0,1,2,3,1507529114,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_1
397,2017/10/09,15:05:57,321,31610158,2,2,3,CHECK,0,0,1,2,3,1507529139,1,s,1,1,1,1,1,5,1,,,,,,,,0,1,0,2_2
