date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial
2017/10/16,14:58:14,0,ばんごう,1,1,0,PROB_BEGIN,0,0,0,0,0,1508133494,0,f,0,0,0,0,0,0,1
2017/10/16,14:58:47,6,ばんごう,1,1,1,SET,1,6,6,0,0,1508133494,0,f,0,0,0,0,0,0,1
2017/10/16,14:58:51,6,ばんごう,1,1,2,REMOVE,1,6,6,0,0,1508133494,0,f,0,0,0,0,0,0,1
2017/10/16,14:58:53,1,ばんごう,1,1,3,SET,1,1,1,0,0,1508133494,0,f,0,0,0,0,0,0,1
2017/10/16,14:58:55,21,ばんごう,1,1,4,SET,2,2,1,2,0,1508133494,0,f,0,1,0,0,0,1,1
2017/10/16,14:58:59,321,ばんごう,1,1,5,SET,3,3,1,2,3,1508133494,0,s,1,1,1,1,1,5,1
2017/10/16,14:58:59,321,ばんごう,1,1,5,CHECK,0,0,1,2,3,1508133494,1,s,1,1,1,1,1,5,1
2017/10/16,14:59:03,0,ばんごう,1,2,0,PROB_BEGIN,0,0,0,0,0,1508133543,0,f,0,0,0,0,0,0,1
2017/10/16,14:59:33,1,ばんごう,1,2,1,SET,1,1,1,0,0,1508133543,0,f,0,0,0,0,0,0,1
2017/10/16,14:59:34,21,ばんごう,1,2,2,SET,2,2,1,2,0,1508133543,0,f,0,1,0,0,0,1,1
2017/10/16,14:59:38,321,ばんごう,1,2,3,SET,3,3,1,2,3,1508133543,0,s,1,1,1,1,1,5,1
2017/10/16,14:59:39,321,ばんごう,1,2,3,CHECK,0,0,1,2,3,1508133543,1,s,1,1,1,1,1,5,1
2017/10/16,14:59:40,0,ばんごう,1,3,0,PROB_BEGIN,0,0,0,0,0,1508133580,0,f,0,0,0,0,0,0,1
2017/10/16,14:59:45,1,ばんごう,1,3,1,SET,1,1,1,0,0,1508133580,0,f,0,0,0,0,0,0,1
2017/10/16,14:59:46,21,ばんごう,1,3,2,SET,2,2,1,2,0,1508133580,0,f,0,1,0,0,0,1,1
2017/10/16,14:59:50,321,ばんごう,1,3,3,SET,3,3,1,2,3,1508133580,0,s,1,1,1,1,1,5,1
2017/10/16,14:59:51,321,ばんごう,1,3,3,CHECK,0,0,1,2,3,1508133580,1,s,1,1,1,1,1,5,1
2017/10/16,14:59:52,0,ばんごう,1,4,0,PROB_BEGIN,0,0,0,0,0,1508133592,0,f,0,0,0,0,0,0,1
2017/10/16,15:00:21,1,ばんごう,1,4,1,SET,1,1,1,0,0,1508133592,0,f,0,0,0,0,0,0,1
2017/10/16,15:00:24,41,ばんごう,1,4,2,SET,2,4,1,4,0,1508133592,0,f,0,0,0,0,0,0,1
2017/10/16,15:00:39,41,ばんごう,1,4,3,REMOVE,2,4,1,4,0,1508133592,0,f,0,0,0,0,0,0,1
