,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,counts,strategy
9,2017/10/09,14:51:16,321,31710071,1,1,7,CHECK,0,0,1,2,3,1507528209,2,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
14,2017/10/09,14:51:46,321,31710071,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
19,2017/10/09,14:52:10,321,31710071,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
24,2017/10/09,14:52:44,321,31710071,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,15,r
32,2017/10/09,14:53:14,321,31710071,1,5,5,CHECK,0,0,1,2,3,1507528365,2,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
38,2017/10/09,14:53:41,321,31710071,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1,15,r
43,2017/10/09,14:54:15,321,31710071,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2,15,r
48,2017/10/09,14:54:28,321,31710071,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3,15,r
53,2017/10/09,14:54:42,321,31710071,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_4,15,r
58,2017/10/09,14:54:58,321,31710071,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_5,15,r
75,2017/10/09,14:58:56,213,31710071,3,1,13,CHECK,0,0,3,1,2,1507528500,3,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_1,15,r
80,2017/10/09,14:59:28,213,31710071,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_2,15,F*
85,2017/10/09,14:59:57,213,31710071,3,3,3,CHECK,0,0,3,1,2,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_3,15,F*
90,2017/10/09,15:00:18,213,31710071,3,4,3,CHECK,0,0,3,1,2,1507528797,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_4,15,F*
95,2017/10/09,15:00:30,213,31710071,3,5,3,CHECK,0,0,3,1,2,1507528819,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_5,15,F*
100,2017/10/09,15:04:29,321,31710061,1,1,3,CHECK,0,0,1,2,3,1507529057,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,15,n
110,2017/10/09,15:04:55,321,31710061,1,2,7,CHECK,0,0,1,2,3,1507529071,2,s,1,1,1,1,1,5,1,,,,,,,,,,,1_2,15,n
117,2017/10/09,15:05:06,321,31710061,1,3,5,CHECK,0,0,1,2,3,1507529096,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
122,2017/10/09,15:05:21,321,31710061,1,4,3,CHECK,0,0,1,2,3,1507529107,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,15,r
129,2017/10/09,15:05:36,321,31710061,1,5,5,CHECK,0,0,1,2,3,1507529122,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
136,2017/10/09,15:05:57,321,31710061,2,1,5,CHECK,0,0,1,2,3,1507529138,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,15,F*
141,2017/10/09,15:06:09,321,31710061,2,2,3,CHECK,0,0,1,2,3,1507529157,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_2,15,F*
148,2017/10/09,15:06:27,321,31710061,2,3,5,CHECK,0,0,1,2,3,1507529170,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_3,15,r
155,2017/10/09,15:06:43,321,31710061,2,4,5,CHECK,0,0,1,2,3,1507529187,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_4,15,r
166,2017/10/09,15:07:02,321,31710061,2,5,9,CHECK,0,0,1,2,3,1507529204,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,15,n
177,2017/10/09,15:07:55,132,31710061,3,1,9,CHECK,0,0,2,3,1,1507529225,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_1,15,n
186,2017/10/09,15:08:25,312,31710061,3,2,7,CHECK,0,0,2,1,3,1507529276,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,15,n
195,2017/10/09,15:08:45,132,31710061,3,3,7,CHECK,0,0,2,3,1,1507529307,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3,15,n
200,2017/10/09,15:08:57,312,31710061,3,4,3,CHECK,0,0,2,1,3,1507529326,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,3_4,15,s
216,2017/10/09,15:09:23,132,31710061,3,5,13,CHECK,0,0,2,3,1,1507529338,2,s,1,1,1,1,1,5,1,,,,,,,,,,,3_5,15,n
224,2017/10/09,15:42:03,321,31610012,1,1,5,CHECK,0,0,1,2,3,1507531309,2,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
232,2017/10/09,15:42:17,321,31610012,1,2,5,CHECK,0,0,1,2,3,1507531324,2,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
239,2017/10/09,15:42:27,321,31610012,1,3,5,CHECK,0,0,1,2,3,1507531338,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_3,15,n
249,2017/10/09,15:42:44,321,31610012,1,4,7,CHECK,0,0,1,2,3,1507531348,2,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,15,F*
256,2017/10/09,15:42:55,321,31610012,1,5,5,CHECK,0,0,1,2,3,1507531365,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
269,2017/10/09,15:43:41,321,31610012,2,1,9,CHECK,0,0,1,2,3,1507531378,3,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1,15,F*
278,2017/10/09,15:44:34,321,31610012,2,2,7,CHECK,0,0,1,2,3,1507531422,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2,15,n
283,2017/10/09,15:44:47,321,31610012,2,3,3,CHECK,0,0,1,2,3,1507531475,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,15,F*
290,2017/10/09,15:44:58,321,31610012,2,4,5,CHECK,0,0,1,2,3,1507531487,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_4,15,F*
295,2017/10/09,15:45:06,321,31610012,2,5,3,CHECK,0,0,1,2,3,1507531499,1,s,1,1,1,1,1,5,1,,,,,,,,s,,,2_5,15,s
322,2017/10/09,15:46:50,123,31610012,3,1,23,CHECK,0,0,3,2,1,1507531509,3,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_1,15,r
334,2017/10/09,15:47:08,213,31610012,3,2,9,CHECK,0,0,3,1,2,1507531611,2,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2,15,r
339,2017/10/09,15:47:19,123,31610012,3,3,3,CHECK,0,0,3,2,1,1507531628,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3,15,r
347,2017/10/09,15:47:34,123,31610012,3,4,5,CHECK,0,0,3,2,1,1507531640,2,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_4,15,r
352,2017/10/09,15:47:44,123,31610012,3,5,3,CHECK,0,0,3,2,1,1507531655,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_5,15,r
359,2017/10/09,15:03:55,321,31610158,1,1,5,CHECK,0,0,1,2,3,1507529022,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,15,n
366,2017/10/09,15:04:15,321,31610158,1,2,5,CHECK,0,0,1,2,3,1507529037,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
375,2017/10/09,15:04:40,321,31610158,1,3,7,CHECK,0,0,1,2,3,1507529055,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_3,15,r
