,date,time,ans,InputID,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,counts,strategy
4,2017/11/06,14:41:22,321,31710071,1,1,3,CHECK,0,0,1,2,3,1509946804,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
12,2017/11/06,14:41:44,321,31710071,1,2,5,CHECK,0,0,1,2,3,1509946883,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_2,15,n
18,2017/11/06,14:42:14,321,31710071,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
24,2017/11/06,14:42:27,321,31710071,1,4,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_4,15,n
30,2017/11/06,14:42:37,321,31710071,1,5,3,CHECK,0,0,1,2,3,1509946947,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_5,15,r
36,2017/11/06,14:43:05,321,31710071,2,1,3,CHECK,0,0,1,2,3,1509946959,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1,15,r
42,2017/11/06,14:43:28,321,31710071,2,2,3,CHECK,0,0,1,2,3,1509946985,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2,15,r
48,2017/11/06,14:43:37,321,31710071,2,3,3,CHECK,0,0,1,2,3,1509947008,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,15,n
54,2017/11/06,14:43:45,321,31710071,2,4,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,15,n
60,2017/11/06,14:44:08,321,31710071,2,5,3,CHECK,0,0,1,2,3,1509947025,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,15,n
68,2017/11/06,14:46:36,321,31710071,3,1,5,CHECK,0,0,1,2,3,1509947051,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_1,15,r
74,2017/11/06,14:47:06,321,31710071,3,2,3,CHECK,0,0,1,2,3,1509947210,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_2,15,n
80,2017/11/06,14:47:16,321,31710071,3,3,3,CHECK,0,0,1,2,3,1509947227,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_3,15,n
86,2017/11/06,14:47:36,321,31710071,3,4,3,CHECK,0,0,1,2,3,1509947236,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_4,15,n
92,2017/11/06,14:47:43,321,31710071,3,5,3,CHECK,0,0,1,2,3,1509947256,1,s,1,1,1,1,1,5,1,,,,,,,,,,,3_5,15,n
98,2017/11/06,14:41:32,321,31510207,1,1,3,CHECK,0,0,1,2,3,1509946873,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_1,15,F*
104,2017/11/06,14:41:44,321,31510207,1,2,3,CHECK,0,0,1,2,3,1509946893,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_2,15,F*
110,2017/11/06,14:41:55,321,31510207,1,3,3,CHECK,0,0,1,2,3,1509946905,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_3,15,F*
116,2017/11/06,14:42:14,321,31510207,1,4,3,CHECK,0,0,1,2,3,1509946916,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_4,15,F*
122,2017/11/06,14:42:24,321,31510207,1,5,3,CHECK,0,0,1,2,3,1509946934,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
128,2017/11/06,14:42:48,321,31510207,2,1,3,CHECK,0,0,1,2,3,1509946946,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1,15,n
134,2017/11/06,14:42:58,321,31510207,2,2,3,CHECK,0,0,1,2,3,1509946968,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2,15,n
140,2017/11/06,14:43:06,321,31510207,2,3,3,CHECK,0,0,1,2,3,1509946979,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_3,15,n
146,2017/11/06,14:43:19,321,31510207,2,4,3,CHECK,0,0,1,2,3,1509946987,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,15,n
152,2017/11/06,14:43:31,321,31510207,2,5,3,CHECK,0,0,1,2,3,1509947000,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_5,15,n
159,2017/11/06,14:44:29,126,31510207,3,1,3,CHECK,0,0,6,2,1,1509947013,1,f,0,0,1,0,0,1,1,,,,,,,,,,,3_1,15,n
168,2017/11/06,14:45:24,123,31510207,3,2,3,CHECK,0,0,3,2,1,1509947096,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_2,15,r
174,2017/11/06,14:45:32,123,31510207,3,3,3,CHECK,0,0,3,2,1,1509947125,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_3,15,r
180,2017/11/06,14:45:45,123,31510207,3,4,3,CHECK,0,0,3,2,1,1509947133,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_4,15,r
186,2017/11/06,14:46:03,123,31510207,3,5,3,CHECK,0,0,3,2,1,1509947145,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,3_5,15,r
196,2017/11/06,14:43:24,321,31710061,1,1,7,CHECK,0,0,1,2,3,1509946968,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_1,15,n
202,2017/11/06,14:43:37,321,31710061,1,2,3,CHECK,0,0,1,2,3,1509947004,1,s,1,1,1,1,1,5,1,,,,,,,,,,,1_2,15,n
208,2017/11/06,14:43:49,321,31710061,1,3,3,CHECK,0,0,1,2,3,1509947018,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_3,15,r
214,2017/11/06,14:44:01,321,31710061,1,4,3,CHECK,0,0,1,2,3,1509947030,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,1_4,15,r
220,2017/11/06,14:44:11,321,31710061,1,5,3,CHECK,0,0,1,2,3,1509947042,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,1_5,15,F*
226,2017/11/06,14:44:26,321,31710061,2,1,3,CHECK,0,0,1,2,3,1509947053,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_1,15,n
234,2017/11/06,14:44:42,321,31710061,2,2,5,CHECK,0,0,1,2,3,1509947066,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_2,15,n
240,2017/11/06,14:44:48,321,31710061,2,3,3,CHECK,0,0,1,2,3,1509947083,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3,15,F*
246,2017/11/06,14:44:58,321,31710061,2,4,3,CHECK,0,0,1,2,3,1509947089,1,s,1,1,1,1,1,5,1,,,,,,,,,,,2_4,15,n
