"lv","asg","card","amount","sentence","type0","type2","formula_order","story","type"
1,1,1,2,"赤い花 を 2 本 もっています","e1","existence","1","increase","e1"
1,1,2,5,"赤い花 を 5 本 もらいました","r1","increase","2","increase","r"
1,1,3,0,"赤い花 を ? 本 もっています","e1","existence","3","increase","e2"
1,1,4,5,"赤い花 を 5 本 もっています","e0","existence","2","increase",""
1,1,5,2,"赤い花 を 2 本 あげました","r0","decrease","1","increase",""
1,1,6,0,"白い花 を ? 本 もっています","e0","existence","3","increase",""
1,2,1,5,"男の子 が 5 にん います","e1","existence","1","increase","e1"
1,2,2,3,"男の子 が 3 にん きました","r1","increase","2","increase","r"
1,2,3,0,"男の子 が ? にん います","e1","existence","3","increase","e2"
1,2,4,3,"男の子 が 3 にん います","e0","existence","2","increase",""
1,2,5,5,"男の子 が 5 にん かえりました","r0","decrease","1","increase",""
1,2,6,0,"女の子 が ? にん います","e0","existence","3","increase",""
1,3,1,2,"青いカード を 2 まい もっています","e1","existence","1","increase","e1"
1,3,2,5,"青いカード を 5 まい もらいました","r1","increase","2","increase","r"
1,3,3,0,"青いカード を ? まい もっています","e1","existence","3","increase","e2"
1,3,4,5,"青いカード を 5 まい もっています","e0","existence","2","increase",""
1,3,5,2,"青いカード を 2 まい あげました","r0","decrease","1","increase",""
1,3,6,0,"赤いカード を ? まい もっています","e0","existence","3","increase",""
1,4,1,2,"きいろいくるま が 2 だい います","e1","existence","1","increase","e1"
1,4,2,4,"きいろいくるま が 4 だい きました","r1","increase","2","increase","r"
1,4,3,0,"きいろいくるま が ? だい います","e1","existence","3","increase","e2"
1,4,4,4,"きいろいくるま が 4 だい います","e0","existence","2","increase",""
1,4,5,2,"きいろいくるま が 2 だい でていきました","r0","decrease","1","increase",""
1,4,6,0,"白いくるま が ? だい います","e0","existence","3","increase",""
1,5,1,4,"子ども が 4 にん います","e1","existence","1","increase","e1"
1,5,2,5,"子ども が 5 にん きました","r1","increase","2","increase","r"
1,5,3,0,"子ども が ? にん います","e1","existence","3","increase","e2"
1,5,4,5,"子ども が 5 にん います","e0","existence","2","increase",""
1,5,5,4,"子ども が 4 にん かえりました","r0","decrease","1","increase",""
1,5,6,0,"おとな が ? にん います","e0","existence","3","increase",""
2,1,1,2,"赤い花 を 2 本 もっています","e1","existence","1","increase","e1"
2,1,2,0,"赤い花 を ? 本 もらいました","r1","increase","2","increase","r"
2,1,3,7,"赤い花 を 7 本 もっています","e1","existence","3","increase","e2"
2,1,4,0,"赤い花 を ? 本 もっています","e0","existence","2","increase",""
2,1,5,2,"赤い花 を 2 本 あげました","r0","decrease","1","increase",""
2,1,6,7,"白い花 を 7 本 もっています","e0","existence","3","increase",""
2,2,1,5,"男の子 が 5 にん います","e1","existence","1","increase","e1"
2,2,2,0,"男の子 が ? にん きました","r1","increase","2","increase","r"
2,2,3,8,"男の子 が 8 にん います","e1","existence","3","increase","e2"
2,2,4,0,"男の子 が ? にん います","e0","existence","2","increase",""
2,2,5,5,"男の子 が 5 にん かえりました","r0","decrease","1","increase",""
2,2,6,8,"女の子 が 8 にん います","e0","existence","3","increase",""
2,3,1,2,"青いカード を 2 まい もっています","e1","existence","1","increase","e1"
2,3,2,0,"青いカード を ? まい もらいました","r1","increase","2","increase","r"
2,3,3,7,"青いカード を 7 まい もっています","e1","existence","3","increase","e2"
2,3,4,0,"青いカード を ? まい もっています","e0","existence","2","increase",""
2,3,5,2,"青いカード を 2 まい あげました","r0","decrease","1","increase",""
2,3,6,7,"赤いカード を 7 まい もっています","e0","existence","3","increase",""
2,4,1,2,"きいろいくるま が 2 だい います","e1","existence","1","increase","e1"
2,4,2,0,"きいろいくるま が ? だい きました","r1","increase","2","increase","r"
2,4,3,6,"きいろいくるま が 6 だい います","e1","existence","3","increase","e2"
2,4,4,0,"きいろいくるま が ? だい います","e0","existence","2","increase",""
