,date,time,ans,InputID,story_num,lv,asg,stp,ope1,slot,card,slot1,slot2,slot3,session,check,jdg,C.S,ST.S,N.S,SS.S,O.S,validity,trial,amount,sentence,type0,type2,formula_order,story,type,story_st,relation_st,formula_st,q,strategy,counts,strategy_jdg
4,2017/10/09,14:50:55,521,31710071,2,1,1,3,CHECK,0,0,1,2,5,1507528209,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_1_1,F*,60,F*_f
14,2017/10/09,14:51:46,321,31710071,2,1,2,3,CHECK,0,0,1,2,3,1507528277,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_2,F*,60,F*_s
19,2017/10/09,14:52:10,321,31710071,2,1,3,3,CHECK,0,0,1,2,3,1507528307,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_1_3,F*,60,F*_s
24,2017/10/09,14:52:44,321,31710071,2,1,4,3,CHECK,0,0,1,2,3,1507528330,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_1_4,r,60,r_s
29,2017/10/09,14:53:09,521,31710071,2,1,5,3,CHECK,0,0,1,2,5,1507528365,1,f,0,0,1,1,1,3,1,,,,,,,,,,F*,2_1_5,F*,60,F*_f
38,2017/10/09,14:53:41,321,31710071,2,2,1,3,CHECK,0,0,1,2,3,1507528396,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_1,r,60,r_s
43,2017/10/09,14:54:15,321,31710071,2,2,2,3,CHECK,0,0,1,2,3,1507528422,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_2,r,60,r_s
48,2017/10/09,14:54:28,321,31710071,2,2,3,3,CHECK,0,0,1,2,3,1507528455,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_3,r,60,r_s
53,2017/10/09,14:54:42,321,31710071,2,2,4,3,CHECK,0,0,1,2,3,1507528469,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_4,r,60,r_s
58,2017/10/09,14:54:58,321,31710071,2,2,5,3,CHECK,0,0,1,2,3,1507528483,1,s,1,1,1,1,1,5,1,,,,,,,,,r,,2_2_5,r,60,r_s
65,2017/10/09,14:56:52,521,31710071,2,3,1,5,CHECK,0,0,1,2,5,1507528500,1,f,0,0,1,1,1,3,1,,,,,,,,,r,,2_3_1,r,60,r_f
80,2017/10/09,14:59:28,213,31710071,2,3,2,3,CHECK,0,0,3,1,2,1507528737,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_2,F*,60,F*_s
85,2017/10/09,14:59:57,213,31710071,2,3,3,3,CHECK,0,0,3,1,2,1507528768,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_3,F*,60,F*_s
90,2017/10/09,15:00:18,213,31710071,2,3,4,3,CHECK,0,0,3,1,2,1507528797,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_4,F*,60,F*_s
95,2017/10/09,15:00:30,213,31710071,2,3,5,3,CHECK,0,0,3,1,2,1507528819,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,2_3_5,F*,60,F*_s
109,2017/10/20,11:57:55,321,31710071,3,1,1,3,CHECK,0,0,1,2,3,1508468261,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_1,F*,60,F*_s
114,2017/10/20,11:58:09,321,31710071,3,1,2,3,CHECK,0,0,1,2,3,1508468276,1,s,1,1,1,1,1,5,1,,,,,,,,,,F*,3_1_2,F*,60,F*_s
