,InputID,day,1_F,1_S,1_R,cluster0,2_F,2_S,2_R,cluster1,3_F,3_S,3_R,cluster2
0,31710071,4,5,5,0,3,5,5,0,2,0,4,0,1
1,31510207,4,5,4,0,0,5,5,0,2,0,4,1,3
2,31710039,4,5,5,0,3,5,5,0,2,1,4,0,1
3,s31610012,4,5,3,1,0,5,3,0,1,1,3,0,0
4,31610158,4,4,3,1,0,5,4,0,2,0,1,0,0
5,31710023,4,5,4,0,0,5,4,0,2,0,4,0,1
6,31610016,4,2,2,1,1,3,3,1,1,2,4,3,2
7,31410196,4,5,5,1,2,4,5,2,0,0,5,1,3
8,31710135,4,5,5,0,3,5,5,0,2,0,3,0,0
9,31410011,4,5,5,0,3,4,4,1,1,0,5,2,3
10,31610007,4,5,5,0,3,5,5,0,2,0,0,0,0
11,31210101,4,5,4,2,2,3,2,0,1,1,4,0,1
12,31410170,4,5,4,0,0,5,5,0,2,1,5,4,2
13,31610164,4,4,4,0,0,5,5,0,2,0,4,1,3
14,31710167,4,4,4,0,0,4,3,0,1,0,3,1,0
15,31510074,4,5,5,1,2,4,4,3,0,0,3,2,3
16,31610044,4,5,5,0,3,5,5,0,2,0,3,1,0
17,72,4,4,5,0,0,4,3,0,1,1,5,4,2
18,31710065,4,4,5,0,0,5,5,0,2,0,4,1,3
19,31710150,4,3,4,0,0,4,4,2,0,0,1,2,0
20,31710148,4,5,4,0,0,4,5,0,2,1,4,1,3
21,31510058,4,5,5,0,3,5,4,0,2,0,4,2,3
22,31710046,4,4,5,0,0,3,4,0,1,0,4,0,1
23,31710096,4,5,5,0,3,5,5,0,2,1,5,0,1
24,3161075,4,5,4,2,2,5,5,5,0,0,5,2,3
25,31610135,4,5,5,0,3,5,3,0,1,0,5,0,1
26,31710002,4,5,4,0,0,5,4,0,2,0,2,0,0
27,31610052,4,5,5,0,3,5,4,0,2,0,4,0,1
28,31710016,4,5,3,0,0,4,2,0,1,1,4,0,1
29,31510156,4,4,4,0,0,5,5,0,2,0,5,0,1
30,31610025,4,5,5,2,2,5,5,2,0,0,5,0,1
31,s31610023,4,5,5,2,2,5,5,1,0,0,4,0,1
32,31710035,4,4,4,0,0,5,5,0,2,0,2,0,0
33,s31710105,4,5,4,0,0,4,3,1,1,1,4,3,2
34,31710145,4,5,5,0,3,4,5,0,2,1,5,4,2
35,s31710117,4,3,2,0,1,5,4,0,2,0,1,0,0
36,31610097,4,4,5,0,0,5,5,0,2,1,4,2,3
37,s31710111,4,5,5,0,3,4,0,0,3,1,4,0,1
38,s31710137,4,5,5,0,3,5,4,0,2,0,4,0,1
39,31710129,4,5,3,0,0,5,5,0,2,0,5,2,3
40,31710143,4,5,5,0,3,4,5,0,2,0,5,0,1
41,31510062,4,5,4,1,2,5,4,0,2,1,4,0,1
42,31710165,4,5,5,0,3,5,5,0,2,0,4,2,3
43,31710112,4,5,5,0,3,5,4,0,2,0,5,4,2
44,31710156,4,5,5,0,3,4,4,1,1,1,5,0,1
45,31710086,4,5,5,1,2,5,5,0,2,0,4,0,1
46,31610121,4,4,4,0,0,5,4,0,2,0,3,1,0
47,31710074,4,5,4,0,0,4,4,0,1,1,1,0,0
48,31710042,4,5,4,0,0,4,5,0,2,0,5,0,1
