,InputID,day,1_F,1_S,1_R,2_F,2_S,2_R,3_F,3_S,3_R
0,31710071,3,5,5,0,5,5,4,0,5,3
1,31710061,3,5,3,0,5,3,0,1,3,0
2,S31610012,3,5,3,0,3,3,1,1,0,0
3,3161014,3,5,4,0,5,3,0,0,0,0
4,31610016,3,5,3,1,5,4,0,1,0,0
5,31410196,3,5,4,0,5,5,1,0,3,0
6,31710135,3,5,5,0,5,5,0,0,5,0
7,31410011,3,5,4,0,5,5,1,2,3,1
8,31610007,3,5,5,0,5,5,0,2,2,2
9,31210101,3,4,4,0,5,3,0,1,3,0
10,31710167,3,5,4,0,5,1,0,2,1,1
11,31510074,3,5,5,0,5,5,0,1,4,0
12,31610044,3,5,5,0,5,5,0,1,2,0
13,31710150,3,5,4,0,5,4,0,1,1,0
14,31710148,3,5,5,0,5,5,0,1,1,0
15,31510058,3,4,4,2,5,5,0,1,3,0
16,31710046,3,3,3,0,4,5,1,0,4,0
17,31710096,3,5,4,0,5,4,0,1,2,0
18,31610135,3,4,4,0,4,3,1,0,5,0
19,31710002,3,2,2,1,5,5,1,0,0,0
20,31610052,3,4,5,0,3,3,0,0,5,4
21,31510156,3,5,5,0,5,5,1,1,3,0
22,31610025,3,5,5,0,5,5,3,0,5,0
23,s31610023,3,5,4,0,4,4,0,0,5,0
24,31710035,3,5,4,0,4,2,0,1,1,0
25,31710105,3,5,4,0,3,3,1,1,3,0
26,s31710125,3,4,3,3,4,4,0,0,4,0
27,31610097,3,4,4,0,5,5,0,0,4,0
28,s31710137,3,5,4,0,5,4,0,0,4,0
29,31710129,3,5,4,0,5,4,0,1,4,0
30,31510062,3,3,2,0,4,3,0,0,3,4
31,31710165,3,5,4,0,5,4,0,1,4,0
32,31710112,3,5,5,0,5,5,0,1,5,0
33,31710156,3,5,5,0,4,3,0,2,2,1
34,31710086,3,4,4,0,5,5,0,0,4,0
35,31610121,3,5,4,0,5,5,0,0,4,0
36,31710074,3,4,2,0,4,2,0,0,0,0
37,s31710042,3,5,5,0,4,4,4,1,3,0
