,InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
6,31610016,2,F_S_x,F_S_x,F_S_R,F_S_R,F_S_x,0,F_S_R,F_S_x,F_S_x,F_S_R,F_S_R,0,x_x_R,x_S_R,x_S_R,x_x_x,x_S_R,0
27,31610097,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,6,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_R,x_S_x,x_S_R,x_S_x,x_S_R,0
0,31710071,2,F_S_x,F_S_x,F_S_x,F_S_R,F_S_x,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,1
7,31410196,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,0,F_S_R,F_S_x,F_S_R,F_S_R,F_S_R,0,x_x_x,x_x_x,F_x_R,F_x_R,F_x_R,1
13,31510074,2,F_S_x,F_S_x,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,1
29,31510147,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_x_R,x_x_x,F_x_R,F_x_R,F_x_R,1
1,31710061,2,F_S_x,x_x_x,F_S_x,F_S_R,F_S_x,1,F_S_x,F_S_x,F_x_x,F_S_R,F_S_x,6,x_x_x,x_S_x,x_x_x,x_S_x,x_x_x,1
19,31610075,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,x_x_R,x_x_x,x_x_R,x_x_R,2
20,31610135,2,F_S_x,F_S_x,F_S_x,F_S_R,F_S_R,0,F_S_x,F_S_x,F_S_x,F_S_R,F_S_x,0,F_x_R,F_x_x,F_x_R,x_x_R,F_x_R,2
9,31610007,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,6,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,2,F_x_R,F_x_x,F_x_R,x_x_R,F_x_x,2
25,31710106,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,6,x_x_x,F_S_x,F_S_R,x_S_x,F_S_R,2,x_x_R,F_x_R,F_x_R,F_x_x,x_x_R,2
4,31610028,2,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,3
32,31610121,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,x_x_R,x_x_R,x_x_R,x_x_R,3
14,72,2,F_S_x,F_S_x,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,x_S_R,3,x_x_R,x_x_R,x_S_R,x_S_R,x_S_R,3
24,s31610023,2,x_S_R,F_S_R,F_S_R,F_S_R,F_S_R,2,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,x_S_R,x_S_R,x_S_R,x_S_R,3
8,31410011,2,F_S_R,F_S_R,F_S_R,F_S_R,x_S_R,5,F_S_R,F_S_R,F_S_R,F_x_x,F_S_R,2,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,3
2,31610012,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,6,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,0,x_x_R,x_x_R,x_x_R,x_x_R,x_x_R,3
3,31610158,2,x_x_x,F_S_x,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_x,x_S_R,x_S_R,x_x_R,x_S_R,4
30,s3171037,2,x_S_x,x_S_x,F_S_x,F_S_x,x_S_x,4,F_x_x,x_S_R,F_S_R,x_S_R,F_S_x,1,x_x_x,F_x_R,x_x_R,F_x_R,x_x_R,4
26,s31710125,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,6,F_S_R,F_S_x,F_S_R,F_S_R,F_S_R,0,x_S_x,x_x_R,x_x_R,x_x_R,x_x_R,4
11,31410170,2,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_x_R,F_x_R,F_x_R,F_x_R,F_x_R,5
15,31710150,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_x_R,F_x_R,F_x_R,F_x_R,F_x_R,5
23,31610025,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,F_x_R,F_x_R,F_x_R,F_x_R,5
16,31710148,2,F_S_x,F_S_x,F_S_x,x_x_x,F_S_x,0,x_x_R,F_S_R,F_S_x,F_S_R,F_S_R,5,F_x_R,F_x_R,F_x_R,F_x_R,F_x_R,5
28,314110123,2,F_S_x,x_x_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,0,F_x_R,F_x_R,F_x_R,F_x_R,F_x_R,5
31,31710156,2,F_S_x,x_x_x,F_S_x,F_S_x,F_S_x,1,x_x_x,F_S_x,F_S_R,x_x_R,x_x_x,2,F_x_x,F_x_x,F_x_R,F_x_R,F_x_R,5
