,InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
0,31710071,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,1
1,31510207,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_S_x,x_S_R,x_S_x,x_S_x,1
2,31710039,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_x_x,x_S_x,x_S_x,x_S_x,4
3,s31610012,4,F_x_x,F_x_x,F_S_x,F_S_R,F_S_x,2,F_x_x,F_S_x,F_S_x,F_S_x,F_x_x,1,F_S_x,x_S_x,x_S_x,x_x_x,x_x_x,8
4,31610158,4,F_S_x,F_S_x,x_x_x,F_S_R,F_x_x,5,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,4,x_x_x,x_x_x,x_S_x,x_x_x,x_x_x,8
5,31710023,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,1
6,31610016,4,x_x_x,x_x_x,F_S_x,x_x_x,F_S_R,6,x_x_x,F_S_R,F_S_x,x_x_x,F_S_x,2,F_S_x,F_x_x,x_S_R,x_S_R,x_S_R,4
7,31410196,4,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,3,F_S_R,F_S_x,x_S_x,F_S_x,F_S_R,7,x_S_x,x_S_x,x_S_R,x_S_x,x_S_x,5
8,31710135,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_x_x,x_x_x,x_S_x,x_S_x,0
9,31410011,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_R,x_x_x,F_S_x,4,x_S_R,x_S_x,x_S_R,x_S_x,x_S_x,5
10,31610007,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,2
11,31210101,4,F_S_x,F_S_x,F_x_x,F_S_R,F_S_R,5,F_S_x,x_x_x,F_S_x,F_x_x,x_x_x,0,F_S_x,x_x_x,x_S_x,x_S_x,x_S_x,4
12,31410170,4,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,8,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
13,31610164,4,F_S_x,x_x_x,F_S_x,F_S_x,F_S_x,8,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_S_R,x_x_x,7
14,31710167,4,F_S_x,F_S_x,F_x_x,x_S_x,F_S_x,2,F_S_x,F_x_x,x_x_x,F_S_x,F_S_x,2,x_S_x,x_S_x,x_S_R,x_x_x,x_x_x,7
15,31510074,4,F_S_x,F_S_x,F_S_R,F_S_x,F_S_x,0,F_S_R,F_S_R,x_x_x,F_S_x,F_S_R,9,x_x_x,x_S_x,x_S_R,x_x_x,x_S_R,3
16,31610044,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_S_x,x_S_R,x_S_x,4
17,72,4,F_S_x,x_S_x,F_S_x,F_S_x,F_S_x,4,x_x_x,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
18,31710065,4,F_S_x,x_S_x,F_S_x,F_S_x,F_S_x,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_R,x_S_x,x_x_x,x_S_x,x_S_x,0
19,31710150,4,x_x_x,x_S_x,F_S_x,F_S_x,F_S_x,4,x_x_x,F_S_x,F_S_R,F_S_R,F_S_x,0,x_x_x,x_x_x,x_x_R,x_x_x,x_S_R,2
20,31710148,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,x_S_x,6,F_S_x,x_x_x,x_S_x,x_S_R,x_S_x,4
21,31510058,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_S_x,x_S_x,x_S_R,x_S_R,1
22,31710046,4,x_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_x_x,F_S_x,F_S_x,x_S_x,F_S_x,0,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,1
23,31710096,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_S_x,x_S_x,x_S_x,x_S_x,1
24,3161075,4,F_x_x,F_S_x,F_S_x,F_S_R,F_S_R,5,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,5,x_S_R,x_S_x,x_S_R,x_S_x,x_S_x,5
25,31610135,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_x_x,F_S_x,F_x_x,F_S_x,F_S_x,4,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,5
26,31710002,4,F_S_x,F_S_x,F_S_x,F_x_x,F_S_x,7,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,2,x_x_x,x_x_x,x_x_x,x_S_x,x_S_x,6
27,31610052,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_x_x,x_S_x,3
28,31710016,4,F_x_x,F_S_x,F_x_x,F_S_x,F_S_x,1,F_x_x,F_S_x,x_x_x,F_x_x,F_S_x,0,F_x_x,x_S_x,x_S_x,x_S_x,x_S_x,1
29,31510156,4,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,5
30,31610025,4,F_S_x,F_S_R,F_S_R,F_S_x,F_S_x,0,F_S_x,F_S_R,F_S_x,F_S_R,F_S_x,8,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,5
31,s31610023,4,F_S_x,F_S_x,F_S_x,F_S_R,F_S_R,5,F_S_x,F_S_x,F_S_x,F_S_R,F_S_x,0,x_S_x,x_S_x,x_x_x,x_S_x,x_S_x,0
32,31710035,4,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_S_x,x_x_x,x_S_x,x_x_x,6
33,s31710105,4,F_S_x,F_x_x,F_S_x,F_S_x,F_S_x,8,x_x_x,F_S_x,F_x_R,F_S_x,F_S_x,4,F_S_x,x_S_R,x_S_R,x_S_R,x_x_x,1
34,31710145,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,x_S_x,F_S_x,F_S_x,4,F_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
35,s31710117,4,x_x_x,F_x_x,F_S_x,F_S_x,x_x_x,8,F_S_x,F_S_x,F_S_x,F_S_x,F_x_x,1,x_x_x,x_x_x,x_x_x,x_S_x,x_x_x,6
36,31610097,4,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_S_x,x_x_x,x_S_R,x_S_R,9
37,s31710111,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_x_x,F_x_x,F_x_x,F_x_x,x_x_x,0,F_S_x,x_x_x,x_S_x,x_S_x,x_S_x,4
38,s31710137,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,4,x_S_x,x_x_x,x_S_x,x_S_x,x_S_x,0
39,31710129,4,F_S_x,F_S_x,F_x_x,F_x_x,F_S_x,7,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_R,x_S_x,x_S_R,x_S_x,5
40,31710143,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,x_S_x,F_S_x,F_S_x,F_S_x,F_S_x,3,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,5
41,31510062,4,F_S_R,F_x_x,F_S_x,F_S_x,F_S_x,3,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,4,F_S_x,x_S_x,x_x_x,x_S_x,x_S_x,9
42,31710165,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_x,x_S_R,x_x_x,x_S_R,3
43,31710112,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,5
44,31710156,4,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,9,F_S_R,F_S_x,F_S_x,x_x_x,F_S_x,3,F_S_x,x_S_x,x_S_x,x_S_x,x_S_x,1
45,31710086,4,F_S_R,F_S_x,F_S_x,F_S_x,F_S_x,3,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_S_x,x_S_x,x_S_x,x_S_x,1
46,31610121,4,x_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_x_x,F_S_x,F_S_x,4,x_x_x,x_S_x,x_S_R,x_x_x,x_S_x,3
47,31710074,4,F_x_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,F_S_x,F_S_x,F_S_x,F_x_x,3,F_S_x,x_x_x,x_x_x,x_x_x,x_x_x,2
