InputID,day,1_1,1_2,1_3,1_4,1_5,cluster0,2_1,2_2,2_3,2_4,2_5,cluster1,3_1,3_2,3_3,3_4,3_5,cluster2
31710071,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,2,F_S_R,F_S_R,F_S_x,F_S_x,F_S_x,2,x_x_R,x_S_x,x_S_x,x_S_x,x_S_x,0
31510207,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_R,x_x_R,x_x_R,x_x_R,1
31710061,5,F_x_x,F_S_x,F_S_R,F_S_R,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,F_x_R,F_x_R,F_x_x,0
s31610012,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,1,x_x_R,F_S_x,F_S_x,F_S_x,F_S_x,2,F_x_x,x_S_R,x_S_R,x_S_R,x_S_R,1
31610124,5,x_x_R,F_S_R,F_S_R,F_S_R,F_S_x,0,F_S_x,F_S_x,F_S_x,F_S_x,x_S_x,1,x_x_x,x_x_x,x_x_R,x_x_x,x_x_R,0
31610158,5,F_x_x,F_S_x,F_S_x,x_S_x,F_S_x,1,x_x_x,x_x_x,x_x_x,x_x_R,x_x_R,0,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,0
31610028,5,F_x_R,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,x_S_R,x_S_R,x_S_R,x_S_R,2
31710023,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_R,F_S_R,F_S_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,0
31610016,5,F_x_x,F_S_R,x_S_R,x_S_R,F_S_R,0,F_S_R,F_x_R,F_x_x,F_S_R,F_S_x,2,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,2
31410196,5,F_S_x,F_S_x,x_x_x,F_S_x,F_S_x,1,F_S_R,x_S_R,F_S_R,F_S_R,F_S_R,0,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
31710135,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,F_x_R,F_x_R,F_x_R,F_x_R,0
31410011,5,x_x_x,x_x_R,x_S_R,F_S_R,F_S_R,0,x_S_R,F_S_R,F_S_R,x_S_R,x_S_R,0,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,2
31210101,5,x_x_x,F_S_x,F_S_x,F_S_x,F_x_x,2,F_S_x,F_S_x,F_S_x,F_S_x,F_S_R,1,x_S_x,x_S_R,x_x_R,x_S_R,x_x_R,1
31410170,5,F_S_x,x_x_x,F_S_R,F_S_x,F_S_x,2,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,x_S_x,x_S_R,x_S_R,x_x_R,x_S_R,1
3161013,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_x,x_x_x,x_x_x,x_x_x,x_x_x,1,x_S_x,x_S_x,x_S_x,x_S_x,x_S_R,0
31710167,5,x_x_x,F_S_R,F_S_R,F_x_R,F_S_R,0,F_x_x,x_x_R,x_x_x,x_x_x,x_x_R,0,x_x_x,x_S_R,x_x_R,x_x_x,x_x_R,0
31510074,5,F_S_x,F_S_x,F_S_x,F_S_R,F_S_R,2,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,F_x_R,F_x_R,F_x_R,F_x_R,0
72,5,F_S_x,F_S_R,F_x_R,F_S_R,F_S_R,2,F_x_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_x_R,x_x_R,x_x_R,x_S_R,x_S_R,2
31710150,5,F_S_x,F_S_x,F_S_R,F_S_x,F_S_R,2,F_S_x,F_x_R,F_S_R,F_S_x,F_S_x,1,x_S_x,x_S_R,x_S_R,x_S_R,x_x_R,1
31710148,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_S_x,x_x_R,x_x_R,x_x_R,x_x_x,0
31510058,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,x_x_R,x_S_R,x_S_R,x_S_R,F_S_x,0,x_S_x,x_S_R,x_S_R,x_S_R,x_S_R,1
31710046,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,F_S_x,F_S_x,x_S_x,F_S_x,1,x_x_R,x_S_R,x_x_R,x_S_R,x_S_R,2
31710096,5,F_S_x,F_S_x,F_S_x,F_S_x,F_S_x,1,F_S_x,x_S_x,F_S_x,x_S_x,F_x_x,1,x_S_x,x_S_x,x_S_x,x_S_x,x_S_x,0
31610075,5,F_S_R,F_x_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_R,F_S_R,0,x_S_R,x_x_R,x_S_R,x_S_R,x_S_R,2
31710002,5,F_S_x,F_S_x,F_S_x,F_S_x,x_x_x,1,x_S_x,x_x_x,x_x_x,x_x_x,x_x_x,1,x_x_x,x_x_x,x_x_x,x_S_x,x_S_x,0
31610052,5,F_S_x,F_S_R,F_S_R,F_S_R,F_S_R,0,F_S_R,F_S_R,F_S_R,F_S_x,F_S_x,2,x_S_R,x_S_R,x_S_R,x_S_R,x_S_R,2
