,InputID,day,1_1,1_2,1_3,1_4,cluster0,2_1,2_2,2_3,2_4,3_1_x,cluster1,3_1_y,3_2,3_3,3_4,cluster2
0,31710090,6,F_S_R,F_S_x,F_x_x,F_S_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_S_R,2,x_S_R,x_S_x,x_x_x,x_S_x,0
1,31710071,6,F_S_x,F_S_R,F_x_x,x_S_R,2,x_S_R,F_S_R,F_x_x,F_S_R,x_S_R,2,x_S_R,x_S_x,x_x_x,x_S_R,0
2,31710039,6,F_S_x,F_x_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,x_S_R,2,x_S_R,x_x_x,x_x_x,x_x_x,0
3,31710061,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_x_x,F_x_R,1,F_x_R,x_S_x,x_x_x,F_x_x,2
4,s31710125,6,F_S_R,F_S_x,F_x_x,F_S_x,1,x_S_R,x_x_x,F_x_x,F_x_x,x_S_R,2,x_S_R,x_x_x,x_x_x,x_x_x,0
5,31410011,6,F_S_R,x_x_x,F_x_x,x_x_x,1,F_S_R,F_S_x,F_x_x,F_x_x,x_S_R,2,x_S_R,x_x_x,x_x_x,x_x_x,0
6,31710135,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_R,F_S_x,F_x_x,F_S_x,x_x_x,1,x_x_x,x_S_x,x_x_x,x_S_x,2
7,31410196,6,F_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_x_R,x_x_x,F_x_x,F_x_x,0,F_x_x,x_S_x,x_x_x,F_x_x,2
8,31710143,6,x_S_x,F_S_x,F_x_x,F_S_x,0,F_S_x,F_S_R,x_x_x,F_x_x,x_S_R,0,x_S_R,x_S_x,x_x_x,F_S_x,0
9,31710117,6,F_S_x,F_S_x,F_x_x,x_S_x,0,x_x_x,F_S_x,F_x_x,F_x_x,x_S_x,1,x_S_x,F_x_x,x_x_x,F_S_x,1
10,31610025,6,F_S_R,F_S_x,F_x_x,F_x_x,1,F_S_R,F_S_x,F_x_x,F_S_x,x_S_R,2,x_S_R,x_x_x,x_x_x,F_S_x,0
