,InputID,day,1_1_F,1_1_S,1_1_R,1_2_F,1_2_S,1_2_R,1_3_F,1_3_S,1_3_R,1_4_F,1_4_S,1_4_R,1_5_F,1_5_S,1_5_R,cluster0,2_1_F,2_1_S,2_1_R,2_2_F,2_2_S,2_2_R,2_3_F,2_3_S,2_3_R,2_4_F,2_4_S,2_4_R,2_5_F,2_5_S,2_5_R,cluster1,3_1_F,3_1_S,3_1_R,3_2_F,3_2_S,3_2_R,3_3_F,3_3_S,3_3_R,3_4_F,3_4_S,3_4_R,3_5_F,3_5_S,3_5_R,cluster2
0,31710071,2,F,S,x,F,S,x,F,S,x,F,S,R,F,S,x,1,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,1,x,x,x,F,x,R,F,x,R,F,x,R,F,x,R,0
1,31710061,2,F,S,x,x,x,x,F,S,x,F,S,R,F,S,x,3,F,S,x,F,S,x,F,x,x,F,S,R,F,S,x,6,x,x,x,x,S,x,x,x,x,x,S,x,x,x,x,0
2,31610012,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,6,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,2,x,x,R,x,x,R,x,x,R,x,x,R,x,x,R,3
3,31610158,2,x,x,x,F,S,x,F,S,R,F,S,R,F,S,R,0,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,1,x,x,x,x,S,R,x,S,R,x,x,R,x,S,R,4
4,31610028,2,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,0,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,1,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,3
5,31610037,2,x,S,R,F,S,x,F,S,x,F,S,x,F,S,x,2,F,S,x,F,S,x,F,S,R,F,S,R,F,S,x,2,F,x,x,F,x,R,F,x,R,F,x,R,F,x,R,5
6,31610016,2,F,S,x,F,S,x,F,S,R,F,S,R,F,S,x,1,F,S,R,F,S,x,F,S,x,F,S,R,F,S,R,1,x,x,R,x,S,R,x,S,R,x,x,x,x,S,R,1
7,31410196,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,R,1,F,S,R,F,S,x,F,S,R,F,S,R,F,S,R,1,x,x,x,x,x,x,F,x,R,F,x,R,F,x,R,0
8,31410011,2,F,S,R,F,S,R,F,S,R,F,S,R,x,S,R,5,F,S,R,F,S,R,F,S,R,F,x,x,F,S,R,0,x,S,R,x,S,R,x,S,R,x,S,R,x,S,R,3
9,31610007,2,F,S,x,F,S,x,F,S,x,F,S,x,F,S,x,6,F,S,x,F,S,x,F,S,x,x,S,x,F,S,x,0,F,x,R,F,x,x,F,x,R,x,x,R,F,x,x,2
10,31410066,2,F,S,x,F,S,x,x,S,x,F,S,x,F,S,x,8,F,S,x,x,x,x,F,S,x,F,S,x,F,S,x,2,x,x,x,x,S,x,x,S,x,x,S,R,x,S,x,0
11,31410170,2,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,0,F,S,R,F,S,R,F,S,R,F,S,R,F,S,R,1,F,x,R,F,x,R,F,x,R,F,x,R,F,x,R,5
