"InputID","day","1_1","1_2","1_3","1_4","1_5","2_1","2_2","2_3","2_4","2_5","3_1","3_2","3_3","3_4","3_5"
"31710071",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_x","F_S_x","F_S_x","x_x_R","x_S_x","x_S_x","x_S_x","x_S_x"
"31510207",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_x","x_x_R","x_x_R","x_x_R","x_x_R"
"31710061",5,"F_x_x","F_S_x","F_S_R","F_S_R","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_x","x_x_x","F_x_R","F_x_R","F_x_x"
"s31610012",5,"F_x_x","F_S_x","F_S_x","x_S_x","F_S_x","x_x_R","F_S_x","F_S_x","F_S_x","F_S_x","F_x_x","x_S_R","x_S_R","x_S_R","x_S_R"
"31610124",5,"x_x_R","F_S_R","F_S_R","F_S_R","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_S_x","x_x_x","x_x_x","x_x_R","x_x_x","x_x_R"
"31610158",5,"F_x_x","F_S_x","F_S_x","x_S_x","F_S_x","x_x_x","x_x_x","x_x_x","x_x_R","x_x_R","x_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"31610028",5,"F_x_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31710023",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x"
"31610016",5,"F_x_x","F_S_R","x_S_R","x_S_R","F_S_R","F_S_R","F_x_R","F_x_x","F_S_R","F_S_x","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31410196",5,"F_S_x","F_S_x","x_x_x","F_S_x","F_S_x","F_S_R","x_S_R","F_S_R","F_S_R","F_S_R","x_S_x","x_S_R","x_S_R","x_S_R","x_S_R"
"31710135",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_x","F_x_R","F_x_R","F_x_R","F_x_R"
"31410011",5,"x_x_x","x_x_R","x_S_R","F_S_R","F_S_R","x_S_R","F_S_R","F_S_R","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R","x_S_R"
"31210101",5,"x_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_R","x_S_x","x_S_R","x_x_R","x_S_R","x_x_R"
"31410170",5,"F_S_x","x_x_x","F_S_R","F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","x_S_x","x_S_R","x_S_R","x_x_R","x_S_R"
"3161013",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_x","x_x_x","x_x_x","x_x_x","x_x_x","x_S_x","x_S_x","x_S_x","x_S_x","x_S_R"
"31710167",5,"x_x_x","F_S_R","F_S_R","F_x_R","F_S_R","F_x_x","x_x_R","x_x_x","x_x_x","x_x_R","x_x_x","x_S_R","x_x_R","x_x_x","x_x_R"
"31510074",5,"F_S_x","F_S_x","F_S_x","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","F_x_R","F_x_R","F_x_R","F_x_R"
"72",5,"F_S_x","F_S_R","F_x_R","F_S_R","F_S_R","F_x_R","F_S_R","F_S_R","F_S_R","F_S_R","x_x_R","x_x_R","x_x_R","x_S_R","x_S_R"
"31710150",5,"F_S_x","F_S_x","F_S_R","F_S_x","F_S_R","F_S_x","F_x_R","F_S_R","F_S_x","F_S_x","x_S_x","x_S_R","x_S_R","x_S_R","x_x_R"
"31710148",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_S_x","x_x_R","x_x_R","x_x_R","x_x_x"
"31510058",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_x_R","x_S_R","x_S_R","x_S_R","F_S_x","x_S_x","x_S_R","x_S_R","x_S_R","x_S_R"
"31710046",5,"F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","F_S_x","x_S_x","F_S_x","x_x_R","x_S_R","x_x_R","x_S_R","x_S_R"
