"InputID","day","1_1","1_2","1_3","1_4","2_1","2_2","2_3","2_4","3_1","3_2","3_3","3_4"
"31710090",6,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_S_x","x_x_x","x_S_x"
"31710071",6,"F_S_x","F_S_R","F_x_x","x_S_R","x_S_R","F_S_R","F_x_x","F_S_R","x_S_R","x_S_x","x_x_x","x_S_R"
"31710039",6,"F_S_x","F_x_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31710061",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_x_x","F_x_R","x_S_x","x_x_x","F_x_x"
"s31710125",6,"F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_x_x","F_x_x","F_x_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31410011",6,"F_S_R","x_x_x","F_x_x","x_x_x","F_S_R","F_S_x","F_x_x","F_x_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31710135",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_x","x_S_x","x_x_x","x_S_x"
"31410196",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_x_R","x_x_x","F_x_x","F_x_x","x_S_x","x_x_x","F_x_x"
"31710143",6,"x_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_R","x_x_x","F_x_x","x_S_R","x_S_x","x_x_x","F_S_x"
"31710117",6,"F_S_x","F_S_x","F_x_x","x_S_x","x_x_x","F_S_x","F_x_x","F_x_x","x_S_x","F_x_x","x_x_x","F_S_x"
"31610025",6,"F_S_R","F_S_x","F_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","x_S_R","x_x_x","x_x_x","F_S_x"
"31510074",6,"F_S_R","F_x_x","x_x_x","x_x_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_R","F_x_x","x_x_x","F_S_x"
"72",6,"F_S_R","x_x_x","F_x_x","F_S_x","F_x_x","F_S_R","x_x_x","F_S_x","x_x_R","F_x_x","x_x_x","F_S_x"
"31710065",6,"F_S_R","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","x_x_x","x_x_R","x_x_x","F_x_x","x_x_x"
"31610044",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_R","F_S_x","x_x_x","x_S_x"
"31710167",6,"F_S_R","F_S_x","F_x_x","x_x_x","F_S_x","F_S_R","x_x_x","x_x_x","x_S_R","x_x_x","x_x_x","x_x_x"
"31610028",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_R","F_x_x","x_x_x","F_x_x"
"31610035",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_x_x"
"31610052",6,"F_S_R","F_S_x","x_x_x","x_x_x","F_S_x","x_S_x","F_x_x","F_S_x","x_x_R","x_x_x","x_x_x","x_x_x"
"s31710137",6,"F_S_x","F_S_x","F_x_x","x_S_x","F_S_x","F_S_x","F_x_x","F_x_x","x_x_R","x_S_x","x_x_x","x_S_x"
"31510156",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_x","F_S_R","F_x_x","F_S_x","F_x_R","F_x_x","x_S_x","x_x_x"
"31610135",6,"x_x_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","x_S_x","F_x_x","x_x_x"
"31510062",6,"F_S_x","F_S_x","x_x_x","F_x_x","F_S_x","F_x_x","x_x_x","F_S_x","x_x_x","F_x_x","x_x_x","F_x_x"
"31510180",6,"x_S_R","F_S_x","x_x_x","F_x_x","F_S_x","F_S_R","x_S_x","F_S_x","x_S_x","F_x_x","x_x_x","x_S_x"
"31710150",6,"F_S_R","F_S_x","x_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_S_x","F_x_R","F_S_R","x_x_x","F_x_x"
"31710148",6,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_R","F_S_x","F_x_x","F_S_x","F_x_R","F_S_x","x_x_x","x_x_x"
"31610158",6,"F_S_R","x_x_x","F_x_x","F_S_x","x_x_x","F_x_x","x_x_x","F_x_x","x_x_R","F_S_x","x_x_x","F_S_x"
"31610037",6,"F_S_x","F_S_R","x_x_x","F_S_x","F_S_x","F_S_R","F_x_x","F_x_x","F_x_x","F_x_x","x_S_x","x_S_x"
"s31710105",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_R","F_x_x","F_S_x","F_x_x","x_x_x","x_x_x","x_x_x"
"31610121",6,"F_S_x","F_S_x","F_x_x","F_x_x","F_S_x","F_S_x","F_x_x","x_S_x","x_S_R","F_x_x","x_x_x","x_S_x"
"s31710111",6,"F_S_x","F_S_x","x_x_x","F_x_x","F_S_x","x_x_x","x_x_x","x_S_x","x_S_x","F_x_x","x_x_x","F_x_x"
"31710145",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","x_x_x","F_S_x","x_S_R","x_S_x","x_x_x","F_x_x"
"31510058",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","x_S_x","x_S_x","x_x_x","x_S_x","x_x_x","x_x_x"
"31710046",6,"F_S_x","F_S_x","F_x_x","F_S_x","x_x_R","x_S_x","x_x_x","x_S_x","x_x_R","x_S_x","x_S_x","x_S_x"
"31710112",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_S_R","F_S_x","F_x_x","F_S_x","x_x_R","F_S_x","F_x_x","x_S_x"
"31710106",6,"x_x_x","F_S_x","F_x_x","F_S_R","F_S_x","x_x_x","x_x_x","x_S_x","x_x_x","x_x_x","x_x_x","F_S_x"
"s31710042",6,"x_S_x","F_S_x","x_x_x","F_S_x","x_x_x","F_S_x","x_x_x","F_S_x","F_x_R","x_S_x","x_x_x","x_S_x"
"31710129",6,"F_S_x","F_S_x","x_x_x","F_x_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_x","F_S_x","x_x_x","x_x_x"
"31510147",6,"F_S_x","F_S_x","F_x_x","F_S_x","F_x_x","F_S_x","x_x_x","F_S_x","x_x_x","x_S_x","x_x_x","x_x_x"
"31710096",6,"F_S_x","F_S_x","x_x_x","F_S_x","F_S_x","x_x_x","F_x_x","x_S_x","x_S_x","x_S_x","x_x_x","x_S_x"
"31710101",6,"F_S_x","F_S_x","x_S_x","F_S_x","F_S_x","F_S_x","F_x_x","F_S_x","x_x_R","F_x_x","x_x_x","F_x_x"
